system,display_name,recommended_primary_source,stable_field_count,openai_field_count,openai_trigger_count,libretro_raw_entry_count,libretro_distinct_address_count,action_replay_cheat_count
gb,"Incredible Crash Dummies, The (USA, Europe) (Game Genie)",,0,0,0,0,0,0
gb,"Indiana Jones and the Last Crusade (USA, Europe)",,0,0,0,0,0,0
gb,"Indien dans la Ville, Un (France) (SGB Enhanced)",,0,0,0,0,0,0
gb,"International Superstar Soccer (USA, Europe) (SGB Enhanced)",,0,0,0,0,0,0
gb,"Iron Man X-O Manowar in Heavy Metal (USA, Europe) (SGB Enhanced)",,0,0,0,0,0,0
gb,J.League Winning Goal (Japan) (GameShark),,0,0,0,0,0,0
gb,"James Bond 007 (USA, Europe) (SGB Enhanced)",,0,0,0,0,0,0
gb,Jankenman (Japan),libretro_database,0,0,0,1,1,0
gb,Jeep Jamboree (USA) (Game Genie),,0,0,0,0,0,0
gb,Jeep Jamboree - Off-Road Adventure (USA),,0,0,0,0,0,0
gb,Jelly Boy (Europe),,0,0,0,0,0,0
gb,Jeopardy! (USA),,0,0,0,0,0,0
gb,Jeopardy! - Sports Edition (USA),,0,0,0,0,0,0
gb,Jeopardy! - Teen Tournament (USA) (SGB Enhanced),,0,0,0,0,0,0
gb,"Jetsons, The - Robot Panic (USA, Europe) (Game Genie)",,0,0,0,0,0,0
